port_name,area,official_port_url,camera_count,camera_links,official_page_links,catalog_links,webcamscatalunya_links,search_links
Club Nàutic Castelldefels (17nudos),Barcelona Coast,https://www.17nudos.com/,2,https://camstreamer.com/embed/209f5b9f1755eec/S-28530?autoplay=1 | https://camstreamer.com/yt-embed/90b6a66d6c090c4/S-13556?autoplay=1,,,https://www.17nudos.com/,
Port Olímpic,Barcelona Coast,https://ports.gencat.cat/olimpic/,4,https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/catamaran.html | https://windy.com/webcams/1630598068 | https://www.ccma.cat/el-temps/embed/barcelona-port-olimpic/cameraembed/1/ | https://windy.com/webcams/1450823411,,https://www.skylinewebcams.com/en/webcam/espana/cataluna/barcelona/catamaran.html,https://windy.com/webcams/1630598068 | https://www.ccma.cat/el-temps/embed/barcelona-port-olimpic/cameraembed/1/ | https://windy.com/webcams/1450823411,
Marina d’Empuriabrava,Costa Brava (Girona),https://ports.gencat.cat/empuriabrava/,0,,,,,
Marina dels Canals de Santa Margarida,Costa Brava (Girona),https://ports.gencat.cat/santamargarida/,7,https://www.roses.net/webcam/images/654321.jpg | http://www.roses.net/webcam/nautil.jpg | https://www.roses.net/webcam/images/123456.jpg | https://windy.com/webcams/1600352745 | https://windy.com/webcams/1613052624 | https://windy.com/webcams/1600351873 | https://www.ccma.cat/el-temps/embed/roses/cameraembed/27/,,,https://www.roses.net/webcam/images/654321.jpg | http://www.roses.net/webcam/nautil.jpg | https://www.roses.net/webcam/images/123456.jpg | https://windy.com/webcams/1600352745 | https://windy.com/webcams/1613052624 | https://windy.com/webcams/1600351873 | https://www.ccma.cat/el-temps/embed/roses/cameraembed/27/,
Port d’Aiguablava,Costa Brava (Girona),https://ports.gencat.cat/aiguablava/,0,,,,,
Port de Blanes,Costa Brava (Girona),https://ports.gencat.cat/port-de-blanes/,0,,,,,
Port de Cala Canyelles,Costa Brava (Girona),https://ports.gencat.cat/calacanyelles/,0,,,,,
Port de Colera,Costa Brava (Girona),https://ports.gencat.cat/colera/,0,,,,,
Port de l’Escala,Costa Brava (Girona),https://ports.gencat.cat/port-de-lescala/,0,,,,,
Port de l'Estartit,Costa Brava (Girona),https://ports.gencat.cat/port-de-lestartit/,0,,,,,
Port de Llafranc,Costa Brava (Girona),https://ports.gencat.cat/llafranc/,1,https://windy.com/webcams/1565084627,,,https://windy.com/webcams/1565084627,
Port de Llançà,Costa Brava (Girona),https://ports.gencat.cat/port-de-llanca/,0,,,,,
Port de Marina Palamós,Costa Brava (Girona),https://ports.gencat.cat/marinapalamos/,5,https://player.twitch.tv/?channel=mpbocana&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpexterior&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mppanoramica&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpformigues&parent=webcamscatalunya.com | https://windy.com/webcams/1575445569,,,https://player.twitch.tv/?channel=mpbocana&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpexterior&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mppanoramica&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpformigues&parent=webcamscatalunya.com | https://windy.com/webcams/1575445569,
Port de Palamós,Costa Brava (Girona),https://ports.gencat.cat/port-de-palamos/,6,https://www.youtube.com/embed/k_Tux2EeVZ4 | https://player.twitch.tv/?channel=mpbocana&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpexterior&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mppanoramica&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpformigues&parent=webcamscatalunya.com | https://windy.com/webcams/1575445569,https://www.youtube.com/embed/k_Tux2EeVZ4,,https://player.twitch.tv/?channel=mpbocana&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpexterior&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mppanoramica&parent=webcamscatalunya.com | https://player.twitch.tv/?channel=mpformigues&parent=webcamscatalunya.com | https://windy.com/webcams/1575445569,
Port de Portbou,Costa Brava (Girona),https://ports.gencat.cat/portbou/,0,,,,,
Port de Roses,Costa Brava (Girona),https://ports.gencat.cat/port-de-roses/,7,https://www.roses.net/webcam/images/654321.jpg | http://www.roses.net/webcam/nautil.jpg | https://www.roses.net/webcam/images/123456.jpg | https://windy.com/webcams/1600352745 | https://windy.com/webcams/1613052624 | https://windy.com/webcams/1600351873 | https://www.ccma.cat/el-temps/embed/roses/cameraembed/27/,,,https://www.roses.net/webcam/images/654321.jpg | http://www.roses.net/webcam/nautil.jpg | https://www.roses.net/webcam/images/123456.jpg | https://windy.com/webcams/1600352745 | https://windy.com/webcams/1613052624 | https://windy.com/webcams/1600351873 | https://www.ccma.cat/el-temps/embed/roses/cameraembed/27/,
Port de Sant Feliu de Guíxols,Costa Brava (Girona),https://ports.gencat.cat/port-de-sant-feliu-de-guixols/,0,,,,,
Port del Port de la Selva,Costa Brava (Girona),https://ports.gencat.cat/port-del-port-de-la-selva/,0,,,,,
Port Marina Port d’Aro,Costa Brava (Girona),https://ports.gencat.cat/marinaportdaro/,1,https://windy.com/webcams/1520320968,,,https://windy.com/webcams/1520320968,
Port de Calafat,Costa Daurada (Tarragona),https://ports.gencat.cat/calafat/,0,,,,,
Port de Cambrils,Costa Daurada (Tarragona),https://ports.gencat.cat/port-de-cambrils/,5,https://www.youtube.com/embed/M0XTCRKVXnU | https://webtv.feratel.com/webtv/?design=600p&pg=DA7D2F22-8600-464D-9D4F-CDB04014A6C5&cam=15010 | https://www.ccma.cat/el-temps/embed/cambrils/cameraembed/39/ | https://windy.com/webcams/1275031029 | https://windy.com/webcams/1460505955,https://www.youtube.com/embed/M0XTCRKVXnU,,https://webtv.feratel.com/webtv/?design=600p&pg=DA7D2F22-8600-464D-9D4F-CDB04014A6C5&cam=15010 | https://www.ccma.cat/el-temps/embed/cambrils/cameraembed/39/ | https://windy.com/webcams/1275031029 | https://windy.com/webcams/1460505955,
Port de Coma-ruga,Costa Daurada (Tarragona),https://ports.gencat.cat/comaruga/,0,,,,,
Port de l’Ametlla de Mar,Costa Daurada (Tarragona),https://ports.gencat.cat/port-de-lametlla-de-mar/,1,https://www.youtube.com/embed/s0KFIO4trYY,https://www.youtube.com/embed/s0KFIO4trYY,,,
Port de l’Ampolla,Costa Daurada (Tarragona),https://ports.gencat.cat/port-de-lampolla/,0,,,,,
Port de l’Hospitalet de l’Infant (Vandellòs i l’Hospitalet de l’Infant),Costa Daurada (Tarragona),https://ports.gencat.cat/port-de-lhospitalet-de-linfant-vandellos-i-lhospitalet-de-linfant/,0,,,,,
Port de Roda de Berà,Costa Daurada (Tarragona),https://ports.gencat.cat/rodabara/,0,,,,,
Port de Salou,Costa Daurada (Tarragona),https://ports.gencat.cat/salou/,7,https://5940924978228.streamlock.net:443/8115/8115/playlist.m3u8 | https://www.salou.cat/es/webcams-de-salou/espigon-del-muelle | https://www.salou.cat/es/webcams-de-salou/paseo-de-jaume-i | https://www.salou.cat/es/webcams-de-salou/punta-prima | https://www.salou.cat/es/webcams-de-salou/platja-llarga | https://www.salou.cat/es/webcams-de-salou/cala-dels-llenguadets | https://www.salou.cat/es/webcams-de-salou/playa-de-los-capellans,,https://5940924978228.streamlock.net:443/8115/8115/playlist.m3u8,https://www.salou.cat/es/webcams-de-salou/espigon-del-muelle | https://www.salou.cat/es/webcams-de-salou/paseo-de-jaume-i | https://www.salou.cat/es/webcams-de-salou/punta-prima | https://www.salou.cat/es/webcams-de-salou/platja-llarga | https://www.salou.cat/es/webcams-de-salou/cala-dels-llenguadets | https://www.salou.cat/es/webcams-de-salou/playa-de-los-capellans,
Port de Sant Jordi d’Alfama,Costa Daurada (Tarragona),https://ports.gencat.cat/alfama/,0,,,,,
Port de Segur de Calafell,Costa Daurada (Tarragona),https://ports.gencat.cat/port-segur-calafell/,2,https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/calafell.html | https://www.ccma.cat/el-temps/embed/calafell/cameraembed/36/,,https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/calafell.html,https://www.ccma.cat/el-temps/embed/calafell/cameraembed/36/,
Port de Tarragona,Costa Daurada (Tarragona),https://www.porttarragona.cat/,10,https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/calafell.html | https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/tarragona-balco-del-mediterrani.html | https://www.ccma.cat/el-temps/embed/calafell/cameraembed/36/ | https://windy.com/webcams/1627566251 | https://www.salou.cat/es/webcams-de-salou/espigon-del-muelle | https://www.salou.cat/es/webcams-de-salou/paseo-de-jaume-i | https://www.salou.cat/es/webcams-de-salou/punta-prima | https://www.salou.cat/es/webcams-de-salou/platja-llarga | https://www.salou.cat/es/webcams-de-salou/cala-dels-llenguadets | https://www.salou.cat/es/webcams-de-salou/playa-de-los-capellans,,https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/calafell.html | https://www.skylinewebcams.com/en/webcam/espana/cataluna/tarragona/tarragona-balco-del-mediterrani.html,https://www.ccma.cat/el-temps/embed/calafell/cameraembed/36/ | https://windy.com/webcams/1627566251 | https://www.salou.cat/es/webcams-de-salou/espigon-del-muelle | https://www.salou.cat/es/webcams-de-salou/paseo-de-jaume-i | https://www.salou.cat/es/webcams-de-salou/punta-prima | https://www.salou.cat/es/webcams-de-salou/platja-llarga | https://www.salou.cat/es/webcams-de-salou/cala-dels-llenguadets | https://www.salou.cat/es/webcams-de-salou/playa-de-los-capellans,
Port de Torredembarra,Costa Daurada (Tarragona),https://ports.gencat.cat/port-de-torredembarra/,1,https://windy.com/webcams/1627566251,,,https://windy.com/webcams/1627566251,
Embarcador d’Amposta,Terres de l'Ebre,https://ports.gencat.cat/embarcador-damposta-trashed/,0,,,,,
Embarcador de Deltebre,Terres de l'Ebre,https://ports.gencat.cat/?page_id=373,0,,,,,
Embarcador de Sant Jaume d’Enveja,Terres de l'Ebre,https://ports.gencat.cat/?page_id=377,0,,,,,
Embarcador de Tortosa,Terres de l'Ebre,https://ports.gencat.cat/?page_id=367,0,,,,,
Port d’Alcanar,Terres de l'Ebre,https://ports.gencat.cat/port-dalcanar/,1,https://www.youtube.com/embed/IlBFTjZkSfo,https://www.youtube.com/embed/IlBFTjZkSfo,,,
Port de Deltebre,Terres de l'Ebre,https://ports.gencat.cat/port-de-deltebre/,0,,,,,
Port de la Ràpita,Terres de l'Ebre,https://ports.gencat.cat/port-de-sant-carles-de-la-rapita/,2,https://www.youtube.com/embed/JRSBMP4EvpU | https://www.youtube.com/embed/zb0J6YfwOHA,https://www.youtube.com/embed/JRSBMP4EvpU | https://www.youtube.com/embed/zb0J6YfwOHA,,,
Port de les Cases d’Alcanar,Terres de l'Ebre,https://ports.gencat.cat/port-de-les-cases-dalcanar/,0,,,,,
